experiment,mode,split,subset,wape
exp1_role_split_baseline,both,valid,all,0.42989885807037354
exp1_role_split_baseline,both,valid,stockout,0.4522695541381836
exp1_role_split_baseline,both,valid,non_stockout,0.41252410411834717
exp1_role_split_baseline,both,test,all,0.4350644052028656
exp1_role_split_baseline,both,test,stockout,0.4506321847438812
exp1_role_split_baseline,both,test,non_stockout,0.42300066351890564
exp1_role_split_baseline,common_only,valid,all,0.6800292730331421
exp1_role_split_baseline,common_only,valid,stockout,0.7091093063354492
exp1_role_split_baseline,common_only,valid,non_stockout,0.657443642616272
exp1_role_split_baseline,common_only,test,all,0.6637241244316101
exp1_role_split_baseline,common_only,test,stockout,0.680524468421936
exp1_role_split_baseline,common_only,test,non_stockout,0.6507052779197693
exp1_role_split_baseline,specific_only,valid,all,0.5278436541557312
exp1_role_split_baseline,specific_only,valid,stockout,0.5437789559364319
exp1_role_split_baseline,specific_only,valid,non_stockout,0.51546710729599
exp1_role_split_baseline,specific_only,test,all,0.5248624086380005
exp1_role_split_baseline,specific_only,test,stockout,0.5412261486053467
exp1_role_split_baseline,specific_only,test,non_stockout,0.5121819376945496
exp3a_stock_to_specific,both,valid,all,0.425940603017807
exp3a_stock_to_specific,both,valid,stockout,0.4456447660923004
exp3a_stock_to_specific,both,valid,non_stockout,0.4106369614601135
exp3a_stock_to_specific,both,test,all,0.4301777184009552
exp3a_stock_to_specific,both,test,stockout,0.44284921884536743
exp3a_stock_to_specific,both,test,non_stockout,0.4203583896160126
exp3a_stock_to_specific,common_only,valid,all,0.6585938930511475
exp3a_stock_to_specific,common_only,valid,stockout,0.6889908313751221
exp3a_stock_to_specific,common_only,valid,non_stockout,0.6349854469299316
exp3a_stock_to_specific,common_only,test,all,0.6497997641563416
exp3a_stock_to_specific,common_only,test,stockout,0.6669193506240845
exp3a_stock_to_specific,common_only,test,non_stockout,0.6365334391593933
exp3a_stock_to_specific,specific_only,valid,all,0.5047651529312134
exp3a_stock_to_specific,specific_only,valid,stockout,0.5265323519706726
exp3a_stock_to_specific,specific_only,valid,non_stockout,0.48785918951034546
exp3a_stock_to_specific,specific_only,test,all,0.501666784286499
exp3a_stock_to_specific,specific_only,test,stockout,0.5246256589889526
exp3a_stock_to_specific,specific_only,test,non_stockout,0.4838755428791046
