experiment,seed,mode,valid_wape,valid_wpe,valid_mae,test_wape,test_wpe,test_mae
baseline_s9_exp1,42,both,0.429899,-0.019094,0.422450,0.435065,0.029734,0.431420
baseline_s9_exp1,42,common_only,0.680029,-0.538345,0.668246,0.663724,-0.492937,0.658163
baseline_s9_exp1,42,specific_only,0.527843,-0.390918,0.518697,0.524862,-0.391563,0.520464
baseline_s9_exp1,52,both,0.431805,-0.019615,0.424323,0.435249,0.022208,0.431602
baseline_s9_exp1,52,common_only,0.694979,-0.576402,0.682937,0.676870,-0.534178,0.671199
baseline_s9_exp1,52,specific_only,0.494894,-0.325510,0.486319,0.490564,-0.324867,0.486454
baseline_s9_exp1,62,both,0.428436,-0.039799,0.421012,0.426979,-0.017679,0.423402
baseline_s9_exp1,62,common_only,0.699461,-0.586590,0.687341,0.687849,-0.566114,0.682086
baseline_s9_exp1,62,specific_only,0.491403,-0.314186,0.482888,0.487196,-0.314110,0.483114
exp16a_specific_stock_cnt_only,42,both,0.430050,0.000916,0.422599,0.435221,0.043569,0.431574
exp16a_specific_stock_cnt_only,42,common_only,0.676389,-0.521944,0.664669,0.661947,-0.478934,0.656401
exp16a_specific_stock_cnt_only,42,specific_only,0.457191,-0.237662,0.449269,0.453214,-0.238153,0.449417
exp16a_specific_stock_cnt_only,52,both,0.429185,-0.010682,0.421748,0.434189,0.033576,0.430551
exp16a_specific_stock_cnt_only,52,common_only,0.681120,-0.539784,0.669318,0.663998,-0.493284,0.658435
exp16a_specific_stock_cnt_only,52,specific_only,0.483962,-0.304793,0.475576,0.480237,-0.304847,0.476213
exp16a_specific_stock_cnt_only,62,both,0.426213,-0.037327,0.418828,0.430229,0.007381,0.426625
exp16a_specific_stock_cnt_only,62,common_only,0.695429,-0.577807,0.683380,0.672772,-0.521860,0.667135
exp16a_specific_stock_cnt_only,62,specific_only,0.457554,-0.235337,0.449626,0.453548,-0.236041,0.449748
exp16b_specific_stock_both,42,both,0.425941,-0.010334,0.418561,0.430177,0.040075,0.426573
exp16b_specific_stock_both,42,common_only,0.658595,-0.461502,0.647183,0.649800,-0.418659,0.644356
exp16b_specific_stock_both,42,specific_only,0.504765,-0.349722,0.496019,0.501666,-0.349191,0.497463
exp16b_specific_stock_both,52,both,0.432912,0.017937,0.425411,0.443299,0.075083,0.439585
exp16b_specific_stock_both,52,common_only,0.679722,-0.531656,0.667944,0.659269,-0.466318,0.653745
exp16b_specific_stock_both,52,specific_only,0.497732,-0.335150,0.489107,0.494861,-0.335983,0.490715
exp16b_specific_stock_both,62,both,0.429614,-0.002247,0.422170,0.436884,0.052452,0.433223
exp16b_specific_stock_both,62,common_only,0.672844,-0.514702,0.661185,0.655437,-0.457376,0.649945
exp16b_specific_stock_both,62,specific_only,0.506265,-0.351620,0.497493,0.503186,-0.352202,0.498970
exp16c_common_stock_both,42,both,0.426677,-0.009468,0.419283,0.432470,0.039541,0.428847
exp16c_common_stock_both,42,common_only,0.653939,-0.412316,0.642608,0.648951,-0.366455,0.643514
exp16c_common_stock_both,42,specific_only,0.498054,-0.325676,0.489424,0.494053,-0.326471,0.489914
exp16c_common_stock_both,52,both,0.435861,0.028127,0.428308,0.456088,0.108702,0.452267
exp16c_common_stock_both,52,common_only,0.651509,-0.401346,0.640220,0.647359,-0.319171,0.641935
exp16c_common_stock_both,52,specific_only,0.562576,-0.432690,0.552829,0.558216,-0.430981,0.553539
exp16c_common_stock_both,62,both,0.429155,-0.011454,0.421719,0.435056,0.037875,0.431411
exp16c_common_stock_both,62,common_only,0.682853,-0.546096,0.671021,0.663634,-0.496877,0.658074
exp16c_common_stock_both,62,specific_only,0.496580,-0.320474,0.487976,0.492551,-0.321141,0.488424
