experiment,mode,valid_wape,valid_wpe,valid_mae,test_wape,test_wpe,test_mae
exp0_same_input,both,0.449976,0.054309,0.442179,0.492454,0.165372,0.488328
exp0_same_input,common_only,0.693051,-0.618591,0.681042,0.677965,-0.593933,0.672285
exp0_same_input,specific_only,0.519620,-0.377437,0.510617,0.487434,-0.295901,0.483350
exp1_role_split,both,0.429899,-0.019098,0.422450,0.435064,0.029729,0.431419
exp1_role_split,common_only,0.680029,-0.538347,0.668246,0.663724,-0.492939,0.658163
exp1_role_split,specific_only,0.527844,-0.390919,0.518698,0.524862,-0.391564,0.520465
exp2_swapped_split,both,0.427985,-0.032521,0.420569,0.428841,0.008579,0.425248
exp2_swapped_split,common_only,0.511827,-0.353031,0.502959,0.507714,-0.352823,0.503460
exp2_swapped_split,specific_only,0.663709,-0.480648,0.652209,0.654097,-0.444442,0.648616
